outcome,term,log_odds,odds_ratio,or_low,or_high,p
judge,Intercept,2.2072656714300978,9.090825075300744,6.8548128379412985,12.05621546547388,5.294445901282351e-53
judge,cat_Arts_and_culture,0.5876088850903758,1.799680024782272,0.8913954733223427,3.6334581995673876,0.10116281237782498
judge,cat_Business_and_economy,0.11475585749986689,1.1215995740182834,0.6746150380332055,1.8647458676663453,0.6581785217845082
judge,cat_Disasters_and_accidents,-0.4754165292153074,0.6216260771104173,0.41603906493568166,0.9288045578206114,0.02031650242767166
judge,cat_International_relations,0.10163927258951737,1.106984080195833,0.7443627440659807,1.6462588483584737,0.6156984623268555
judge,cat_Law_and_crime,-0.050670317526446636,0.9505920124039166,0.6851951879994767,1.3187850555173748,0.7616210391432314
judge,cat_Other_small_categories,0.10401324843753132,1.1096151554852738,0.5948913714106898,2.069698523888329,0.7436511584264338
judge,cat_Politics_and_elections,-0.28988578304541796,0.7483490368454055,0.5110851656254096,1.0957592170810664,0.13623861682702862
judge,cat_Sports,0.06778041142566629,1.0701302942908288,0.6423649392957181,1.7827542829696423,0.7946391978156317
judge,quant,-0.5662112867887065,0.5676721164057076,0.4568035040659074,0.7054491239148657,3.269130522615009e-07
judge,age30,0.051727563980320045,1.0530888041068005,0.9997432410803933,1.1092808470869295,0.05114249652460451
judge,mdl_Claude_Sonnet_5,-0.4037045973491216,0.6678413742452868,0.575612202258088,0.7748482388041076,1.01464139087022e-07
judge,mdl_DeepSeek_V4,-0.30906489097263823,0.7341331298677289,0.6336405413461235,0.8505633986493737,3.8726135102384366e-05
judge,mdl_GLM_5_2,-0.4050126888930048,0.6669683477147789,0.5758675333589294,0.7724810847707853,6.479529045795747e-08
judge,arm_No_search,-1.7646779717952312,0.17124192233564584,0.14320351785174287,0.2047700811062895,2.3414703313574456e-83
judge,arm_Wide,0.10111971833295318,1.1064090912869204,0.9609333767040191,1.2739083759179295,0.1597508748138371
